gamma,learning_rate,n_steps,ent_coef,reward
0.9983071494079564,0.00019476898446768503,128,0.028149610769504743,33987296.0
0.963076012039991,2.839391876176239e-05,128,0.02562009874010637,12390061.0
0.9937928171600302,5.043225644907398e-05,256,0.04604950365831863,8932882.0
0.9479062945623172,3.928550252622455e-05,512,0.019187612385969888,9419624.0
0.9851774632688006,0.000578919170113367,256,0.08396570152742806,72801256.0
0.9362969284604934,1.88207707967451e-05,256,0.05552227005262958,9224086.0
0.9154083235304162,0.0009662192661815199,256,0.03596399040157703,42158968.0
0.9186085202690897,0.00013251602020204493,512,0.05171860922626054,8071548.0
0.9679633629228743,0.00023131230640823771,512,0.051007203021531604,-5269620.0
0.9913236667066799,0.00029327139259176585,256,0.012901452932493163,18175200.0
0.9744284807421122,0.0007065831957819281,256,0.09441821775476782,63397832.0
0.9740092704105119,0.0009226296710221275,256,0.09393247072647241,12251846.0
0.9763826296330856,0.00045482070294644334,256,0.09932502530745622,41595700.0
0.9840953096627214,0.0004596780185142584,256,0.07626720656809106,-4594889.0
0.9552237850008224,7.91462768871306e-05,256,0.08008989446680803,18187518.0
0.943999170304276,0.000509741561129906,128,0.07617190720028975,3349907.0
0.9816996429099035,0.0005529267156326228,256,0.08630202811490353,13540084.0
0.9018788528142199,0.00011690698502444307,256,0.06788818022646564,6469171.5
0.9621271304867154,1.0460071107187138e-05,128,0.06684628586086926,8956501.0
0.9859766024578162,0.0003031197781192524,512,0.0009715867892145513,31078970.0
