gamma,ppo_learning_rate,ppo_n_steps,ppo_ent_coef,a2c_learning_rate,a2c_n_steps,a2c_ent_coef,ppo_weight,reward
0.9173904362346659,0.00019136134423136807,128,0.0880770283509405,1.6776743678940864e-05,512,0.064808127306795,0.28998548374309085,109317.9765625
0.909102831258774,0.00047351777084193934,256,0.009824071057911632,7.723369650132982e-05,256,0.04089734080039771,0.8346097959918384,109437.8828125
0.9646935586439794,5.3668762740354866e-05,128,0.0936029082774091,0.0008497353226010366,128,0.07529824417855852,0.14807324944012723,111302.6796875
0.902561733750164,2.617633180389948e-05,512,0.022130765120671414,0.00033057649211741736,128,0.0794644184189338,0.35547687235819814,110330.65625
0.9091429247577999,8.457723664163821e-05,128,0.023239293634903013,0.00043129903707912753,512,0.018141911451806714,0.9325309962328088,109756.375
0.9030568831262776,0.0008055993963593702,256,0.05660252027688622,2.03859883134153e-05,512,0.03158617609430401,0.6122852668607665,104408.8828125
0.9871241089235676,0.0003186305776705932,256,0.09106597442595563,1.5289748138907754e-05,256,0.05524515771017202,0.0664995833908375,111426.375
0.9307297873124445,1.3843119662466084e-05,512,0.08862185878243918,0.00035056751347575354,128,0.03119603270988396,0.33326183160114253,109342.0234375
0.9490249754668723,3.372281086298287e-05,512,0.06056425276403776,1.574563070683624e-05,128,0.0731791535080441,0.5109354425808997,109394.1171875
0.9648650814609279,2.9337326369632865e-05,256,0.028247587655462637,0.0002530162548323344,512,0.006208846782099997,0.28869219727989737,113747.84375
0.9868244461494465,1.1913505305399526e-05,256,0.037463584352579814,0.00010362489608075122,512,0.0014971624112709962,0.6501636461996747,109809.6328125
0.998856280105991,0.000197359740672951,256,0.0656232914329321,8.089969568218686e-05,256,0.05289462685273967,0.012333099008042137,110144.3203125
0.9732674781678375,0.00020503762165455025,256,0.04099092516924274,3.6779775220483355e-05,256,0.09679598464043818,0.05256490566660389,111341.515625
0.9592676345417054,0.00037132689965077993,256,0.07325352231729995,0.00016621201458804014,256,0.0038776275347045847,0.1965467886271904,109595.375
0.9824468951909562,9.577772009600392e-05,256,0.04198657480175381,3.852796987314515e-05,512,0.05541618809601137,0.18250728424068777,111420.0625
0.9446661627578912,2.6191831482163134e-05,256,0.006234931896191981,0.00017017811093768875,256,0.021987112633368056,0.42175975210673067,110945.1640625
0.9950928183827279,5.48597946449825e-05,256,0.07728427300989796,4.140860140045147e-05,512,0.043322736039044414,0.11195046104155104,110581.2734375
0.9736587500480088,0.00039902054765463034,256,0.027846216296401646,1.1287621508426948e-05,256,0.09054274898545492,0.25052152066257244,109522.203125
0.9351739350791636,0.0009388488564339346,512,0.09961542679858584,0.000690006494773347,512,0.014421656954110074,0.467057309059797,109972.0234375
0.9586069555081103,0.0001361019671905421,128,0.04879326365526695,0.00018506414307537279,256,0.06256963888126221,6.291252962054017e-05,109372.1875
